"[(u2, v2, w2, x1)]","[(u3, v2, w1, x2), (u3, v1, w2, x2)]","[(u3, v1, w1, x1), (u3, v1, w2, x2), (u3, v1, w2, x1)]","[(u3, v1, w2, x2), (u3, v1, w2, x1), (u3, v2, w2, x1)]","[(u2, v1, w1, x2), (u2, v1, w2, x2), (u2, v2, w1, x2)]","[(u2, v3, w1, x2), (u3, v3, w1, x1)]","[(u2, v1, w3, x2)]","[(u1, v2, w1, x2)]","[(u1, v1, w2, x2)]","[(u2, v1, w1, x3)]","[]"
"[(u2, v2, w2, x1)]","[(u3, v2, w1, x2), (u3, v1, w2, x2)]","[(u3, v1, w1, x1), (u3, v1, w2, x2), (u3, v1, w2, x1)]","[(u3, v1, w2, x2), (u3, v1, w2, x1), (u3, v2, w2, x1)]","[(u2, v1, w1, x2), (u2, v1, w2, x2), (u2, v2, w1, x2)]","[(u2, v3, w1, x2), (u3, v3, w1, x1)]","[(u3, v1, w3, x1)]","[(u4, v1, w1, x1)]","[]"
"[(u2, v2, w2, x1)]","[(u3, v2, w1, x2), (u3, v1, w2, x2)]","[(u3, v1, w1, x1), (u3, v1, w2, x2), (u3, v1, w2, x1)]","[(u3, v1, w2, x2), (u3, v1, w2, x1), (u3, v2, w2, x1)]","[(u2, v1, w1, x2), (u2, v1, w2, x2), (u2, v2, w1, x2)]","[(u3, v3, w2, x1), (u2, v3, w1, x2)]","[(u4, v1, w1, x1), (u4, v1, w2, x2), (u4, v2, w2, x1)]","[(u1, v2, w2, x1), (u4, v2, w2, x1)]","[(u3, v1, w2, x3)]","[]"
"[(u2, v2, w2, x1)]","[(u3, v2, w1, x2), (u3, v1, w2, x2)]","[(u3, v1, w1, x1), (u3, v1, w2, x2), (u3, v1, w2, x1)]","[(u3, v1, w2, x2), (u3, v1, w2, x1), (u3, v2, w2, x1)]","[(u2, v1, w1, x2), (u2, v1, w2, x2), (u2, v2, w1, x2)]","[(u3, v3, w2, x1), (u2, v3, w1, x2)]","[(u4, v1, w1, x1), (u4, v1, w2, x2), (u4, v2, w2, x1)]","[(u1, v2, w2, x1), (u4, v2, w2, x1)]","[(u3, v1, w2, x3)]","[]"
"[(u2, v2, w2, x1)]","[(u3, v2, w1, x2), (u3, v1, w2, x2)]","[(u3, v1, w1, x1), (u3, v1, w2, x2), (u3, v1, w2, x1)]","[(u3, v1, w2, x2), (u3, v1, w2, x1), (u3, v2, w2, x1)]","[(u2, v1, w1, x2), (u2, v1, w2, x2), (u2, v2, w1, x2)]","[(u3, v3, w2, x1), (u2, v3, w1, x2)]","[(u4, v1, w1, x1), (u4, v1, w2, x2), (u4, v2, w2, x1)]","[(u1, v2, w2, x1), (u4, v2, w2, x1)]","[(u3, v1, w3, x1)]","[]"
"[(u2, v2, w2, x1)]","[(u3, v2, w1, x2), (u3, v1, w2, x2)]","[(u3, v1, w1, x1), (u3, v1, w2, x2), (u3, v1, w2, x1)]","[(u3, v1, w2, x2), (u3, v1, w2, x1), (u3, v2, w2, x1)]","[(u2, v1, w1, x2), (u2, v1, w2, x2), (u2, v2, w1, x2)]","[(u3, v3, w2, x1), (u2, v3, w1, x2)]","[(u4, v1, w1, x1), (u4, v1, w2, x2), (u4, v2, w2, x1)]","[(u1, v2, w2, x1), (u4, v2, w2, x1)]","[(u3, v1, w3, x1)]","[]"
"[(u2, v2, w2, x1)]","[(u3, v2, w1, x2), (u3, v1, w2, x2)]","[(u3, v1, w1, x1), (u3, v1, w2, x2), (u3, v1, w2, x1)]","[(u3, v1, w2, x2), (u3, v1, w2, x1), (u3, v2, w2, x1)]","[(u2, v1, w1, x2), (u2, v1, w2, x2), (u2, v2, w1, x2)]","[(u3, v3, w2, x1), (u2, v3, w1, x2)]","[(u4, v1, w1, x1), (u4, v1, w2, x2), (u4, v2, w2, x1)]","[(u3, v1, w3, x1)]","[(u3, v1, w2, x3)]","[(u4, v1, w1, x1), (u2, v1, w1, x1)]","[]"
"[(u2, v2, w2, x1)]","[(u3, v2, w1, x2), (u3, v1, w2, x2)]","[(u3, v1, w1, x1), (u3, v1, w2, x2), (u3, v1, w2, x1)]","[(u3, v1, w2, x2), (u3, v1, w2, x1), (u3, v2, w2, x1)]","[(u2, v1, w1, x2), (u2, v1, w2, x2), (u2, v2, w1, x2)]","[(u3, v3, w2, x1), (u2, v3, w1, x2)]","[(u4, v1, w1, x1), (u4, v1, w2, x2), (u4, v2, w2, x1)]","[(u3, v1, w3, x1)]","[(u3, v1, w2, x3)]","[(u4, v1, w1, x1), (u2, v1, w1, x1)]","[]"
"[(u2, v2, w2, x1)]","[(u3, v2, w1, x2), (u3, v1, w2, x2)]","[(u3, v1, w1, x1), (u3, v1, w2, x2), (u3, v1, w2, x1)]","[(u3, v1, w2, x2), (u3, v1, w2, x1), (u3, v2, w2, x1)]","[(u2, v1, w1, x2), (u2, v1, w2, x2), (u2, v2, w1, x2)]","[(u3, v3, w2, x1), (u2, v3, w1, x2)]","[(u1, v2, w1, x2)]","[(u2, v1, w3, x2)]","[(u2, v1, w1, x3)]","[]"
"[(u2, v2, w2, x1)]","[(u3, v2, w1, x2), (u3, v1, w2, x2)]","[(u3, v1, w1, x1), (u3, v1, w2, x2), (u3, v1, w2, x1)]","[(u3, v1, w2, x2), (u3, v1, w2, x1), (u3, v2, w2, x1)]","[(u2, v1, w1, x2), (u2, v1, w2, x2), (u2, v2, w1, x2)]","[(u3, v2, w3, x1), (u2, v1, w3, x2)]","[(u4, v1, w1, x1), (u4, v2, w1, x2), (u4, v2, w2, x1)]","[(u1, v2, w2, x1), (u4, v2, w2, x1)]","[(u3, v2, w1, x3)]","[(u3, v3, w1, x1)]","[]"
